type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km,dist_eiffel_tower_km,dist_louvre_museum_km,dist_notre_dame_cathedral_km,dist_arc_de_triomphe_km,dist_sacré_cœur_km,dist_musée_dorsay_km,dist_centre_pompidou_km,dist_luxembourg_gardens_km,dist_sainte_chapelle_km,dist_panthéon_km,dist_nearest_top_poi_km,dist_avg_top_pois_km,n_top_pois_within_1km,n_top_pois_within_2km,n_top_pois_within_3km,nearest_poi_band,lat_api,lon_api,n_geoapify_pois_total,n_geoapify_tourism,n_geoapify_attractions,n_geoapify_sights,n_geoapify_heritage,geoapify_tourism_density_score,geoapify_limit_hit
weekend,207.1488489141579,103.57442445707896,Entire home/apt,1,2.0,False,10.0,95.0,2.36075,48.86825,1.4252839411318254,4.968441705574026,1.8950399608971755,1.8722911832504514,4.848336373230382,2.42380930068352,2.6611619527877632,1.055814121845999,2.9966566351098813,1.8355064120276228,2.6788087278437493,1.055814121845999,2.723586637325057,0,4,8,1-2 km,48.87,2.36,20,10,6,7,15,41,
weekend,345.0927393046882,172.5463696523441,Entire home/apt,0,2.0,False,9.0,94.0,2.33543,48.86767,1.7710303604787752,3.1665309954854464,0.8020132866671363,1.9445918275703944,3.034577079994515,2.1891187820616467,1.069850737278393,1.4570012324823598,2.390864410348122,1.5334885925266841,2.5094730349469283,0.8020132866671363,2.0097509979361625,1,5,8,0.5-1 km,48.87,2.34,20,7,2,5,16,30,1.0
weekend,263.7710877062168,131.8855438531084,Entire home/apt,0,2.0,False,9.0,89.0,2.3484,48.86815,1.3265047873282738,4.089149250890426,1.152783209168098,1.68817320470396,3.9558416453869354,2.0987651086681485,1.8341737496587853,0.8843424836625794,2.574596767317801,1.4393868885927903,2.4470360700367584,0.8843424836625794,2.216424837808628,1,5,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,242.7998881536024,121.3999440768012,Private room,1,2.0,False,10.0,97.0,2.3506,48.86612,1.0736173913441365,4.192645452827867,1.1318393704997152,1.4597759259322998,4.155322413308304,2.353204507637509,1.882895806623241,0.6248551996634821,2.422258362264889,1.2604407723925515,2.2404234492231896,0.6248551996634821,2.172366126037305,1,5,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,382.1418585143071,191.07092925715355,Private room,1,2.0,False,10.0,90.0,2.34653,48.8699,1.5507103326617762,4.015029195611178,1.2231394376259919,1.8952958072030301,3.793666274054852,1.8848393674608885,1.8267798857433186,1.1141832425399556,2.722279482021057,1.6162063577192358,2.6356049880569197,1.1141832425399556,2.2727024038036427,0,6,8,1-2 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,372.82132537981175,186.41066268990588,Entire home/apt,1,2.0,False,9.0,87.0,2.33735,48.86791,1.692704376248126,3.3080743698515733,0.8130406023347225,1.895145499285929,3.1659380856649055,2.131246727707276,1.1798173066153932,1.3567125168699485,2.4140668004037327,1.4993964812033729,2.49561060735098,0.8130406023347225,2.0259048997287836,1,5,8,0.5-1 km,48.87,2.34,20,7,2,5,16,30,1.0
weekend,484.2016963370305,242.10084816851528,Entire home/apt,1,2.0,False,10.0,96.0,2.3538,48.86394,0.8232881307325709,4.381526877073034,1.2418947070215423,1.2494837240225038,4.438316685745024,2.6490132899375216,2.037406225407959,0.3893974954096853,2.316494351976648,1.1472530987022285,2.053485828821749,0.3893974954096853,2.1904272284117896,1,4,8,0-0.5 km,48.86,2.35,20,13,12,7,9,47,
weekend,435.5019107092926,217.7509553546463,Entire home/apt,1,4.0,False,9.0,80.0,2.34713,48.86711,1.2422882194751153,3.9699020381915884,1.0049734085592719,1.5819923212769753,3.8846786077688846,2.1981551415129092,1.6971618210042754,0.8133537561801173,2.43593888733559,1.3113824757247456,2.3265551805981373,0.8133537561801173,2.1224093638152497,1,5,8,0.5-1 km,48.87,2.35,20,7,4,4,17,33,1.0
weekend,509.8331624568925,254.91658122844623,Entire home/apt,1,4.0,False,10.0,93.0,2.31294,48.86943,3.2509692283680987,1.8231084245722966,2.05373516461327,3.2631218303719844,1.3991887218049641,2.924417133866931,1.4484162274735009,3.0349957373616183,3.13403745133347,2.81673135956633,3.53863055686438,1.3991887218049641,2.543638260782875,0,3,6,1-2 km,48.87,2.31,20,9,3,7,13,33,1.0
weekend,318.29620654301425,159.14810327150713,Entire home/apt,0,2.0,False,9.0,94.0,2.34119,48.86274,1.090576484690965,3.449504441668252,0.35438984965068443,1.2565860770302748,3.59535793878711,2.6678897804127755,1.1099409231041717,0.8398292571343356,1.8621876552861814,0.862451924603061,1.872530164973259,0.35438984965068443,1.7870668012650104,3,7,8,0-0.5 km,48.86,2.34,20,16,11,9,7,47,1.0
