,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
88,weekday,347.4228725883121,173.71143629415604,Entire home/apt,1,2.0,False,10.0,100.0,2.32839,48.86629,2.087990103189047
89,weekday,379.3456985739584,189.6728492869792,Private room,1,2.0,False,10.0,94.0,2.32826,48.87809,2.991585952378802
90,weekday,1059.9776307204772,529.9888153602386,Entire home/apt,2,5.0,False,10.0,100.0,2.30593,48.872690000000006,3.8732912645951063
91,weekday,839.5470220896635,419.77351104483176,Private room,2,4.0,False,10.0,89.0,2.32691,48.87716,2.971696324978302
92,weekday,303.3833535278218,151.6916767639109,Entire home/apt,1,2.0,False,8.0,85.0,2.3602,48.8663,1.2122590521679495
93,weekday,450.41476372448506,225.20738186224253,Entire home/apt,1,4.0,False,9.0,89.0,2.3566,48.86145,0.6120197179497902
94,weekday,428.5115108584211,214.25575542921055,Entire home/apt,1,2.0,True,10.0,94.0,2.35822,48.8565,0.4016154264158625
95,weekday,625.4077733246341,312.7038866623171,Entire home/apt,3,5.0,False,9.0,89.0,2.3588,48.86643,1.1829168549999591
96,weekday,382.1418585143071,191.07092925715355,Entire home/apt,0,2.0,False,9.0,76.0,2.347,48.867,1.2340059746657055
97,weekday,498.1824960387734,249.0912480193867,Entire home/apt,1,4.0,False,8.0,90.0,2.34004,48.85361,0.9883480057412004
98,weekday,289.4025538260789,144.70127691303944,Private room,1,2.0,True,10.0,96.0,2.3345700000000003,48.86932,1.9460547668658712
99,weekday,416.860844440302,208.430422220151,Entire home/apt,1,2.0,False,10.0,100.0,2.32424,48.86562,2.320465661429877
100,weekday,443.657377201976,221.828688600988,Entire home/apt,1,4.0,False,9.0,81.0,2.354,48.868,1.2743077890263204
101,weekday,852.595768477957,426.2978842389785,Entire home/apt,1,6.0,True,9.0,96.0,2.30515,48.87267,3.9230763697469007
102,weekday,355.5783390809954,177.7891695404977,Entire home/apt,0,2.0,False,8.0,68.0,2.3432,48.86426,1.1052685165297895
103,weekday,1031.083978003542,515.541989001771,Entire home/apt,1,4.0,False,10.0,97.0,2.31434,48.88183,3.97745935537989
104,weekday,613.9901202348775,306.99506011743875,Private room,1,4.0,False,8.0,100.0,2.31428,48.88318,4.087830870511859
105,weekday,451.57983036629696,225.78991518314848,Entire home/apt,1,4.0,False,8.0,90.0,2.34231,48.86996,1.674096249863313
106,weekday,357.4424457078945,178.72122285394724,Private room,1,2.0,False,9.0,89.0,2.342,48.865,1.224800931263657
107,weekday,332.5100195731196,166.2550097865598,Entire home/apt,0,4.0,False,8.0,74.0,2.36,48.862,0.8049340781371926
108,weekday,1170.192935035884,585.096467517942,Private room,1,2.0,False,6.0,73.0,2.33482,48.86646,1.714139834478792
