,type_of_day,cost_2pax_2night,cost_2pax_1night,room_type,bedrooms,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,longitude,latitude,distance_km
1659,weekend,382.3748718426694,191.1874359213347,Entire home/apt,1,4.0,False,10.0,96.0,2.371,48.8699,1.997339557616591
1660,weekend,493.5222294715258,246.7611147357629,Entire home/apt,1,4.0,False,7.0,85.0,2.35009,48.87678,2.2554354151792944
1661,weekend,426.4143909031597,213.20719545157985,Entire home/apt,1,2.0,False,10.0,100.0,2.36565,48.87211,1.9700997866370729
1662,weekend,449.7157237393979,224.85786186969895,Entire home/apt,3,5.0,False,10.0,98.0,2.35345,48.87951,2.5510257186536824
1663,weekend,282.6451673035698,141.3225836517849,Entire home/apt,1,4.0,False,9.0,94.0,2.37661,48.87097,2.3721376642274343
1664,weekend,185.47860937645635,92.73930468822817,Private room,1,2.0,False,9.0,92.0,2.34916,48.88795,3.4986446553388024
1665,weekend,383.5399384844813,191.76996924224065,Entire home/apt,1,4.0,False,10.0,98.0,2.37471,48.87201,2.354203657418389
1666,weekend,438.9971106347283,219.49855531736415,Entire home/apt,1,2.0,False,10.0,100.0,2.33686,48.87795,2.6472424228119174
1667,weekend,254.91658122844623,127.45829061422312,Entire home/apt,1,2.0,False,10.0,100.0,2.3559400000000004,48.8757,2.139810913588574
1668,weekend,348.1219125733992,174.0609562866996,Entire home/apt,0,2.0,False,10.0,87.0,2.34208,48.87936,2.6518176862269587
1669,weekend,266.5672476465654,133.2836238232827,Entire home/apt,1,2.0,False,9.0,97.0,2.37289,48.88127,3.118307817429027
1670,weekend,461.13337682915466,230.56668841457733,Entire home/apt,1,6.0,False,9.0,78.0,2.3530900000000003,48.87707,2.279393062911941
1671,weekend,316.19908658775284,158.09954329387642,Entire home/apt,1,3.0,False,10.0,100.0,2.345,48.876000000000005,2.2337589056505607
1672,weekend,358.14148569298163,179.07074284649082,Entire home/apt,2,4.0,True,9.0,95.0,2.3351900000000003,48.88027,2.932722169223557
1673,weekend,605.135613757107,302.5678068785535,Entire home/apt,2,6.0,False,8.0,89.0,2.3595900000000003,48.87004,1.5796193807203396
1674,weekend,271.22751421381304,135.61375710690652,Entire home/apt,0,2.0,True,9.0,97.0,2.34416,48.88532,3.2578098961414788
1675,weekend,297.7910336471246,148.8955168235623,Entire home/apt,0,2.0,False,8.0,82.0,2.33398,48.88288,3.232711473857483
1676,weekend,370.7242054245503,185.36210271227515,Entire home/apt,1,4.0,False,8.0,80.0,2.34786,48.88058,2.6933900485552127
1677,weekend,204.11967564544693,102.05983782272347,Entire home/apt,0,2.0,False,10.0,93.0,2.33892,48.88525,3.345921091454699
1678,weekend,127.9243172709479,63.96215863547395,Shared room,1,4.0,False,10.0,100.0,2.35687,48.87057,1.5857815636013792
1679,weekend,473.94910988908566,236.97455494454283,Entire home/apt,0,3.0,False,7.0,67.0,2.36314,48.87277,1.9559105655382083
1680,weekend,254.91658122844623,127.45829061422312,Private room,1,2.0,False,8.0,80.0,2.33564,48.88559,3.461687174947427
1681,weekend,336.00521949855533,168.00260974927767,Entire home/apt,1,2.0,False,10.0,100.0,2.34,48.89,3.832367290541259
1682,weekend,394.02553826078855,197.01276913039428,Private room,1,4.0,False,10.0,100.0,2.34611,48.8834,3.022369614969223
1683,weekend,387.2681517382794,193.6340758691397,Entire home/apt,0,4.0,False,7.0,69.0,2.34955,48.87023,1.5368413417028517
1684,weekend,441.5602572467145,220.78012862335726,Entire home/apt,1,2.0,False,7.0,70.0,2.33687,48.87618,2.4717345473128094
1685,weekend,195.4981824960388,97.7490912480194,Entire home/apt,0,2.0,False,8.0,88.0,2.36404,48.87851,2.5761256056967343
1686,weekend,289.6355671544412,144.8177835772206,Entire home/apt,0,2.0,True,10.0,95.0,2.3338400000000004,48.88253,3.201985603946833
1687,weekend,127.9243172709479,63.96215863547395,Shared room,1,4.0,False,10.0,100.0,2.3574,48.87103,1.643647699919128
1688,weekend,127.9243172709479,63.96215863547395,Shared room,1,4.0,False,10.0,100.0,2.3566,48.87108,1.6379284790444348
1689,weekend,701.1371050424084,350.5685525212042,Entire home/apt,1,4.0,False,8.0,78.0,2.34832,48.87435,2.003336404335241
1690,weekend,289.8685804828036,144.9342902414018,Entire home/apt,1,4.0,False,9.0,90.0,2.36795,48.88185,3.023729119753648
1691,weekend,151.45866343554852,75.72933171777426,Private room,1,2.0,False,9.0,94.0,2.36674,48.88326,3.139815158033527
1692,weekend,276.5868207661478,138.2934103830739,Entire home/apt,0,2.0,False,10.0,100.0,2.33657,48.88034,2.896813154408369
1693,weekend,202.95460900363503,101.47730450181751,Entire home/apt,1,2.0,False,9.0,80.0,2.32873,48.89113,4.226622651949925
1694,weekend,161.71124988349334,80.85562494174667,Entire home/apt,0,2.0,False,10.0,99.0,2.31633,48.88581,4.207120207762766
1695,weekend,645.446919563799,322.7234597818995,Entire home/apt,2,6.0,False,9.0,96.0,2.3416200000000003,48.87914,2.6386997053931145
1696,weekend,461.13337682915466,230.56668841457733,Entire home/apt,1,4.0,False,10.0,92.0,2.34571,48.88458,3.156563171538904
1697,weekend,798.5366762978842,399.2683381489421,Entire home/apt,2,3.0,False,10.0,86.0,2.37438,48.872,2.336886774561304
1698,weekend,236.74154161618048,118.37077080809024,Entire home/apt,0,2.0,False,10.0,93.0,2.36526,48.88335,3.115596189582026
1699,weekend,301.2862335725604,150.6431167862802,Private room,1,2.0,True,10.0,98.0,2.34884,48.88557,3.236868552837507
1700,weekend,240.93578152670327,120.46789076335163,Entire home/apt,0,2.0,False,9.0,96.0,2.33412,48.88704,3.6525839577502497
1701,weekend,264.23711436294155,132.11855718147078,Entire home/apt,1,4.0,False,10.0,100.0,2.35671,48.87962,2.5791754106794973
1702,weekend,398.68580482803617,199.34290241401808,Entire home/apt,0,4.0,False,8.0,73.0,2.3627700000000003,48.87199,1.865503566702308
1703,weekend,324.35455308043623,162.17727654021812,Entire home/apt,1,4.0,False,10.0,100.0,2.37633,48.87081,2.3449930033039608
1704,weekend,509.8331624568925,254.91658122844626,Entire home/apt,2,4.0,False,9.0,93.0,2.3273,48.88024,3.226153510780416
1705,weekend,486.5318296206543,243.26591481032716,Entire home/apt,0,4.0,False,10.0,100.0,2.371,48.875,2.447721108729998
