,hotel_name,latitude,longitude,city_name,address_lines,search_city
589,Ibis Paris Levallois-Perret,48.89136,2.2898,Levallois Perret,24 Rue De Trebois,Paris
590,Green Park Hotel Paris,48.87835,2.38425,Paris,4 Rue Hassard,Paris
591,Sax Paris Lxr Hotels And Resorts,48.8468,2.31276,Paris,55 Avenue De Saxe,Paris
592,Hotel And Spa Royal Madeleine,48.87289,2.32401,Paris,29 Rue De L Arcade,Paris
593,Les Dames Du Pantheon,48.84451,2.34545,Paris,19 Place Du Pantheon,Paris
594,Ibis Senlis,49.20844,2.60577,Senlis,72 Avenue Du General De Gaulle,Paris
595,Paris Hotel Clichy,48.90209,2.31312,Clichy La Garenne,3 Rue Henri Poincare,Paris
596,Appartcity Paris Velizy,48.78043,2.20651,Velizy Villacoublay,3 Avenue Morane Saulnier,Paris
597,Mercure Paris Massy Gare Tgv,48.72751,2.26487,Massy,"21, Avenue Carnot",Paris
598,Campanile Prime - Bussy-Saint-Georges,48.83204,2.70497,Bussy St Georges,"8 Av Marie Curie, Zac Du Centre Ville",Paris
599,Cheval Blanc Paris,48.8588,2.34186,Paris,8 Quai Du Louvre,Paris
600,Hotel Wallace,48.84613,2.29846,Paris,89 Rue Fondary,Paris
601,Mercure Paris Ivry Quai De Seine,48.81817,2.40056,Ivry Sur Seine,5 Allee De La Seine,Paris
602,Premiere Classe Paris Nord - Sarcelles,49.0,2.38333,Sarcelles,"Zone D Activite, 1 Rue Du Vignolle",Paris
603,Novotel Paris 17,48.89185,2.30216,Paris,34 Avenue Porte D Asnieres,Paris
604,Kyriad Eco - Bussy-St-Georges,48.83248,2.70544,Bussy Saint Georges,8 Avenue Maris Curie,Paris
605,Jardin Le Brea,48.84291,2.32985,Paris,14 Rue Brea,Paris
606,Hotel Balzac Paris,48.87334,2.30039,Paris,6 Rue Balzac,Paris
607,Adagio Paris Boulogne,48.82855,2.23903,Boulogne Billancourt,770 Rue Yves Kermen,Paris
608,Auriane Porte De Versailles,48.83411,2.29521,Paris,"60, Rue Olivier De Serres",Paris
609,Hotel Malte - Astotel,48.86715,2.33752,Paris,63 Rue De Richelieu,Paris
610,De La Paix Tour Eiffel,48.85681,2.30304,Paris,19 Rue Du Gros Caillou,Paris
611,Adagio Access Defense Charras,48.89482,2.2491,Courbevoie,1 Rue De Bitche,Paris
612,Premiere Classe Cergy Saint Christophe,49.05411,2.0189,Cergy,Rn 14 Rue De La Pompe,Paris
613,Le Roch Hotel And Spa,48.86623,2.3329,Paris,28 Rue Saint Roch,Paris
614,Danemark Hotel,48.8434,2.32988,Paris,21 Rue Vavin,Paris
615,Alexandrine Opera,48.88005,2.32627,Paris,10 Rue De Moscou,Paris
616,Des Ducs D Anjou Hotel,48.85986,2.34712,Paris,1 Rue Sainte Opportune,Paris
617,Grand Hotel Lafayette,48.87501,2.34165,Paris,6 Rue Buffault,Paris
618,Adagio Paris Buttes Chaumont,48.87829,2.38651,Paris,3 - 5 Cours Du 7Eme Art,Paris
619,Ibis Styles Paris 15 Lecourbe,48.83883,2.2894,Paris,192 Rue De La Croix Nivert,Paris
620,Maison Albar - Le Pont-Neuf,48.86061,2.34419,Paris,23 Rue Du Pont Neuf,Paris
621,Timhotel Paris Gare De L Est,48.87493,2.36018,Paris,27 Rue Des Recollets,Paris
622,Hotel Monterosa - Astotel,48.87945,2.3342,Paris,30 Rue La Bruyere,Paris
623,Premiere Classe Roissy Le Mesnil Amelot,49.01781,2.58678,Le Mesnil Amelot,Rue Du Stade Sauvanet,Paris
624,Hotel L Echiquier Opera Paris,48.87177,2.34927,Paris,38 Rue De L Echiquier,Paris
625,Hotel Roi De Sicile Rivoli,48.85599,2.35734,Paris,19 Rue De Rivoli,Paris
626,Hotel Les Bains,48.86395,2.35191,Paris,7 Rue Du Bourg L Abbe,Paris
